Accuracy,Loss
0.8125,1.0723854303359985
0.8125,0.4325140118598938
0.75,0.7796491384506226
0.75,0.8586657047271729
0.8125,0.5320291519165039
0.875,0.5917757749557495
0.9375,0.5324222445487976
0.625,0.9280380010604858
0.8125,0.6830007433891296
0.6875,0.6156585216522217
0.875,0.5840458869934082
0.75,0.6536769270896912
0.6875,0.941069483757019
0.875,0.42362046241760254
0.625,1.0835778713226318
0.75,0.7278321385383606
0.9375,0.25715118646621704
0.875,0.4496845006942749
0.75,0.9168086647987366
0.6875,0.8041799068450928
0.75,1.009139060974121
1.0,0.18069234490394592
0.875,0.4105539917945862
0.875,0.3964725136756897
0.875,0.35396045446395874
0.6875,0.7763134241104126
0.625,1.0359704494476318
0.9375,0.3031471073627472
0.875,0.39111876487731934
0.8125,0.538158655166626
0.9375,0.27915865182876587
1.0,0.30158498883247375
0.8125,0.44383248686790466
0.8125,1.0683460235595703
0.6875,0.5709209442138672
0.9375,0.28677308559417725
0.6875,0.7753713726997375
0.8125,0.27026137709617615
0.8125,0.4001659154891968
0.9375,0.3546144664287567
0.8125,0.5525223612785339
0.9375,0.21629229187965393
0.9375,0.3088960647583008
0.625,0.7848156690597534
1.0,0.2131720930337906
0.75,0.5473529696464539
1.0,0.1502336859703064
0.9375,0.3616596758365631
0.9375,0.32367798686027527
0.8125,0.550234854221344
0.875,0.4884187877178192
0.8125,0.3510737419128418
0.875,0.606343150138855
0.9375,0.343280553817749
0.875,0.7293077111244202
0.6875,0.9009036421775818
0.875,0.3096691071987152
0.75,0.5927373766899109
0.75,0.6249688267707825
0.8125,0.39554935693740845
0.75,0.5950184464454651
0.75,0.7512234449386597
0.875,0.28525063395500183
0.875,0.281513512134552
0.9375,0.25032931566238403
0.8125,0.46564605832099915
0.875,0.30199527740478516
0.9375,0.28762272000312805
0.875,0.4280795753002167
0.8125,0.4932255148887634
0.875,0.6560766100883484
0.875,0.2899879813194275
0.8125,0.7186851501464844
0.8125,0.4948848485946655
0.8125,0.5778645277023315
0.875,0.2714150547981262
1.0,0.19585318863391876
0.875,0.2927396893501282
0.8125,0.5647713541984558
0.875,0.346628338098526
0.9375,0.24499516189098358
0.8125,0.6074991822242737
0.75,0.7669436931610107
0.8125,0.5717332363128662
0.9375,0.3474240005016327
0.9375,0.25988543033599854
0.875,0.3165757358074188
0.8125,0.33487391471862793
0.9375,0.2338322550058365
1.0,0.1813448965549469
0.8125,0.6313856840133667
1.0,0.18619504570960999
0.75,0.6781256794929504
0.875,0.4123355448246002
0.875,0.28719043731689453
0.9375,0.20632901787757874
0.875,0.291951060295105
1.0,0.051907334476709366
0.875,0.382297158241272
1.0,0.1520022451877594
1.0,0.13452556729316711
0.9375,0.2091449797153473
0.8125,0.560154139995575
0.75,0.5148928165435791
0.9375,0.22485210001468658
0.8125,0.4459753632545471
0.75,0.4108550250530243
1.0,0.16871428489685059
0.875,0.446934312582016
1.0,0.05960637331008911
0.875,0.15941770374774933
0.75,0.5706546306610107
1.0,0.10428775101900101
0.9375,0.1753028780221939
1.0,0.07829423248767853
1.0,0.16999885439872742
1.0,0.19439083337783813
0.875,0.5438233613967896
0.875,0.45972713828086853
